<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.02	04:00:00	1.07016	1.07017	1.06909	1.06967	340	0	1
2023.01.02	08:00:00	1.06971	1.07005	1.06636	1.06784	5790	0	0
2023.01.02	12:00:00	1.06788	1.06898	1.06749	1.06788	3224	0	0
2023.01.02	16:00:00	1.06787	1.06819	1.06510	1.06607	5026	0	0
2023.01.02	20:00:00	1.06604	1.06727	1.06499	1.06665	2361	0	0
2023.01.03	00:00:00	1.06642	1.06830	1.06493	1.06597	10675	0	0
2023.01.03	04:00:00	1.06596	1.06802	1.06575	1.06637	12043	0	0
2023.01.03	08:00:00	1.06637	1.06677	1.05339	1.05476	34129	0	0
2023.01.03	12:00:00	1.05479	1.05700	1.05196	1.05604	28042	0	0
2023.01.03	16:00:00	1.05604	1.05974	1.05372	1.05461	37222	0	0
2023.01.03	20:00:00	1.05463	1.05689	1.05433	1.05470	17090	0	0
2023.01.04	00:00:00	1.05465	1.05691	1.05402	1.05667	12432	0	0
2023.01.04	04:00:00	1.05667	1.05784	1.05612	1.05693	8863	0	0
2023.01.04	08:00:00	1.05693	1.06354	1.05594	1.06109	30127	0	0
2023.01.04	12:00:00	1.06109	1.06244	1.05949	1.06105	24248	0	0
2023.01.04	16:00:00	1.06106	1.06286	1.05812	1.06074	40632	0	0
2023.01.04	20:00:00	1.06074	1.06129	1.05851	1.06030	24349	0	0
2023.01.05	00:00:00	1.06015	1.06315	1.05973	1.06204	9561	0	0
2023.01.05	04:00:00	1.06202	1.06202	1.06017	1.06106	10443	0	0
2023.01.05	08:00:00	1.06107	1.06291	1.05902	1.06235	22575	0	0
2023.01.05	12:00:00	1.06238	1.06260	1.05514	1.05524	26874	0	0
2023.01.05	16:00:00	1.05524	1.05675	1.05150	1.05299	38802	0	0
2023.01.05	20:00:00	1.05299	1.05433	1.05152	1.05207	17968	0	0
2023.01.06	00:00:00	1.05205	1.05326	1.05178	1.05250	8372	0	0
2023.01.06	04:00:00	1.05251	1.05362	1.05106	1.05143	8577	0	0
2023.01.06	08:00:00	1.05148	1.05310	1.04968	1.05075	21228	0	0
2023.01.06	12:00:00	1.05075	1.05450	1.04832	1.05426	28211	0	0
2023.01.06	16:00:00	1.05426	1.06382	1.05011	1.06377	45357	0	0
2023.01.06	20:00:00	1.06378	1.06481	1.06295	1.06427	14269	0	0
2023.01.09	00:00:00	1.06394	1.06719	1.06360	1.06667	9379	0	0
2023.01.09	04:00:00	1.06667	1.06831	1.06659	1.06772	10022	0	0
2023.01.09	08:00:00	1.06772	1.06997	1.06599	1.06724	24194	0	0
2023.01.09	12:00:00	1.06727	1.07319	1.06614	1.07252	23124	0	0
2023.01.09	16:00:00	1.07253	1.07607	1.07115	1.07503	31095	0	0
2023.01.09	20:00:00	1.07503	1.07542	1.07301	1.07318	17472	0	0
2023.01.10	00:00:00	1.07293	1.07397	1.07204	1.07362	10145	0	1
2023.01.10	04:00:00	1.07362	1.07441	1.07212	1.07427	9486	0	0
